spot_ticker,premium,daysleft,annual_return,fdate,spot_last,future_last,ssystime,sdatetime,fdatetime,fsystime
eos_usd,0.16504530731750663,50,3.0500190290664544,quarter,17.9993,20.97,2018-05-10 17:50,2018-05-10 17:50,2018-05-10 17:50,2018-05-10 17:50
etc_usd,0.14146114471847385,50,2.627037479395909,quarter,21.49,24.53,2018-05-10 17:50,2018-05-10 17:50,2018-05-10 17:50,2018-05-10 17:50
btg_usd,0.1337469382965929,50,2.500159575691665,quarter,68.181,77.3,2018-05-10 17:50,2018-05-10 17:50,2018-05-10 17:50,2018-05-10 17:50
ltc_usd,0.12968829763920967,50,2.4355553216139243,quarter,157.8878,178.364,2018-05-10 17:50,2018-05-10 17:50,2018-05-10 17:50,2018-05-10 17:50
xrp_usd,0.12600200400801606,50,2.3781316518507523,quarter,0.7984,0.899,2018-05-10 17:50,2018-05-10 17:50,2018-05-10 17:50,2018-05-10 17:50
bch_usd,0.11043970816757127,50,2.148391265998453,quarter,1645.8075,1827.57,2018-05-10 17:50,2018-05-10 17:50,2018-05-10 17:50,2018-05-10 17:50
eth_usd,0.09957721406319528,50,1.999621698698664,quarter,763.98,840.055,2018-05-10 17:50,2018-05-10 17:50,2018-05-10 17:50,2018-05-10 17:50
xrp_usd,0.03081162324649293,9,3.4236874786261935,next_week,0.7984,0.823,2018-05-10 17:50,2018-05-10 17:50,2018-05-10 17:50,2018-05-10 17:50
etc_usd,0.03024662633783165,9,3.348402042629658,next_week,21.49,22.14,2018-05-10 17:50,2018-05-10 17:50,2018-05-10 17:50,2018-05-10 17:50
ltc_usd,0.028515186100509272,9,3.1276062016989723,next_week,157.8878,162.39,2018-05-10 17:50,2018-05-10 17:50,2018-05-10 17:50,2018-05-10 17:50
eos_usd,0.027651075319595663,9,3.022791375898437,next_week,17.9993,18.497,2018-05-10 17:50,2018-05-10 17:50,2018-05-10 17:50,2018-05-10 17:50
bch_usd,0.020549487105873586,9,2.281763177556982,next_week,1645.8075,1679.628,2018-05-10 17:50,2018-05-10 17:50,2018-05-10 17:50,2018-05-10 17:50
btc_usd,0.018852136694977543,50,1.1460708650065838,quarter,9345.625,9521.81,2018-05-10 17:50,2018-05-10 17:50,2018-05-10 17:50,2018-05-10 17:50
btg_usd,0.017438875933177972,9,2.01606442616336,next_week,68.181,69.37,2018-05-10 17:50,2018-05-10 17:50,2018-05-10 17:50,2018-05-10 17:50
eth_usd,0.0162962381214167,9,1.926251089242789,next_week,763.98,776.43,2018-05-10 17:50,2018-05-10 17:50,2018-05-10 17:50,2018-05-10 17:50
xrp_usd,0.007014028056112286,2,3.580819959531472,this_week,0.7984,0.804,2018-05-10 17:50,2018-05-10 17:50,2018-05-10 17:50,2018-05-10 17:50
eos_usd,0.005372431150100196,2,2.658718739550483,this_week,17.9993,18.096,2018-05-10 17:50,2018-05-10 17:50,2018-05-10 17:50,2018-05-10 17:50
etc_usd,0.004327594229874359,2,2.1991741968755716,this_week,21.49,21.583,2018-05-10 17:50,2018-05-10 17:50,2018-05-10 17:50,2018-05-10 17:50
bch_usd,0.003864668255552367,2,2.0217077576743376,this_week,1645.8075,1652.168,2018-05-10 17:50,2018-05-10 17:50,2018-05-10 17:50,2018-05-10 17:50
btc_usd,0.0028820972380123847,9,1.1238012820844252,next_week,9345.625,9372.56,2018-05-10 17:50,2018-05-10 17:50,2018-05-10 17:50,2018-05-10 17:50
btg_usd,0.0027720332643992778,2,1.6573106255579655,this_week,68.181,68.37,2018-05-10 17:50,2018-05-10 17:50,2018-05-10 17:50,2018-05-10 17:50
eth_usd,0.0022304248802324025,2,1.5017021996243252,this_week,763.98,765.684,2018-05-10 17:50,2018-05-10 17:50,2018-05-10 17:50,2018-05-10 17:50
ltc_usd,0.0018126796370587723,2,1.3916840570916977,this_week,157.8878,158.174,2018-05-10 17:50,2018-05-10 17:50,2018-05-10 17:50,2018-05-10 17:50
btc_usd,0.0012471076038253893,2,1.2554013679075595,this_week,9345.625,9357.28,2018-05-10 17:50,2018-05-10 17:50,2018-05-10 17:50,2018-05-10 17:50
