spot_ticker,premium,daysleft,annual_return,fdate,spot_last,future_last,ssystime,sdatetime,fdatetime,fsystime
eos_usd,0.16938985374771479,51,3.0646122633704067,quarter,17.504,20.469,2018-05-09 16:30,2018-05-09 16:29,2018-05-09 16:30,2018-05-09 16:30
btg_usd,0.14498969897706873,51,2.6353289552611403,quarter,66.9351,76.64,2018-05-09 16:30,2018-05-09 16:30,2018-05-09 16:30,2018-05-09 16:30
ltc_usd,0.14152768568607274,51,2.578829473044933,quarter,154.1338,175.948,2018-05-09 16:30,2018-05-09 16:29,2018-05-09 16:30,2018-05-09 16:30
etc_usd,0.14068988003337204,51,2.5653143174254196,quarter,20.8558,23.79,2018-05-09 16:30,2018-05-09 16:29,2018-05-09 16:30,2018-05-09 16:30
bch_usd,0.14068448844884485,51,2.565227540195236,quarter,1515.0,1728.137,2018-05-09 16:30,2018-05-09 16:29,2018-05-09 16:30,2018-05-09 16:30
xrp_usd,0.13728041639557587,51,2.5109407478992383,quarter,0.7685,0.874,2018-05-09 16:30,2018-05-09 16:29,2018-05-09 16:30,2018-05-09 16:30
eth_usd,0.112748996605085,51,2.1481196770335105,quarter,723.4938,805.067,2018-05-09 16:30,2018-05-09 16:29,2018-05-09 16:30,2018-05-09 16:30
eos_usd,0.05055987202925034,10,6.051450669899759,next_week,17.504,18.389,2018-05-09 16:30,2018-05-09 16:29,2018-05-09 16:30,2018-05-09 16:30
ltc_usd,0.04289260369886421,10,4.631748189106577,next_week,154.1338,160.745,2018-05-09 16:30,2018-05-09 16:29,2018-05-09 16:30,2018-05-09 16:30
etc_usd,0.040957431505864186,10,4.328160979780161,next_week,20.8558,21.71,2018-05-09 16:30,2018-05-09 16:29,2018-05-09 16:30,2018-05-09 16:30
xrp_usd,0.039687703318152356,10,4.139578502849761,next_week,0.7685,0.799,2018-05-09 16:30,2018-05-09 16:29,2018-05-09 16:30,2018-05-09 16:30
btc_usd,0.027212725707168418,51,1.2118582347771316,quarter,9098.2323,9345.82,2018-05-09 16:30,2018-05-09 16:29,2018-05-09 16:30,2018-05-09 16:30
bch_usd,0.026332673267326735,10,2.582365155021813,next_week,1515.0,1554.894,2018-05-09 16:30,2018-05-09 16:29,2018-05-09 16:30,2018-05-09 16:30
eth_usd,0.022824245349441812,10,2.278961643408571,next_week,723.4938,740.007,2018-05-09 16:30,2018-05-09 16:29,2018-05-09 16:30,2018-05-09 16:30
xrp_usd,0.022771633051398923,3,15.47885011074641,this_week,0.7685,0.786,2018-05-09 16:30,2018-05-09 16:29,2018-05-09 16:30,2018-05-09 16:30
btg_usd,0.018897409580324778,3,9.754516233103486,this_week,66.9351,68.2,2018-05-09 16:30,2018-05-09 16:30,2018-05-09 16:30,2018-05-09 16:30
eos_usd,0.01691042047531989,3,7.692394489621529,this_week,17.504,17.8,2018-05-09 16:30,2018-05-09 16:29,2018-05-09 16:30,2018-05-09 16:30
bch_usd,0.016489108910891087,3,7.314176856413958,this_week,1515.0,1539.981,2018-05-09 16:30,2018-05-09 16:29,2018-05-09 16:30,2018-05-09 16:30
